Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-08-25 06:18:23,false,"York - 3x 800 (200)","1.53","102","00:07:17.9","159","168","2.2","156","190","4:47","3:15","3","15","1.31","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:00.67.5","6","0.0","00:06:52.2","00:07:24.0","6","20"
Running,2022-08-25 06:06:06,false,"York Running","2.28","133","00:11:24","143","154","2.1","168","176","5:00","4:31","7","21","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:23.97.4","3","0.0","00:11:21","00:11:24","10","24"
Running,2022-08-24 06:09:28,false,"York Running","5.88","436","00:30:06","172","200","4.2","168","178","5:07","4:23","49","49","1.17","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","04:32.39","6","0.0","00:29:49","00:30:50","9","33"
Running,2022-08-23 06:28:32,false,"York Running","0.36","26","00:01:57.4","172","188","0.6","158","170","5:29","4:44","--","26","1.15","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:57.42.4","1","0.0","00:01:57.4","00:01:57.4","22","48"
Running,2022-08-23 06:13:09,false,"York Running","3.01","174","00:14:11","142","197","2.6","169","174","4:43","4:17","17","24","1.26","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.55","5","0.0","00:14:07","00:14:11","13","27"
Running,2022-08-22 06:12:29,false,"York Running","5.01","351","00:24:14","171","200","4.0","166","182","4:50","3:51","26","28","1.25","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.47","6","0.0","00:23:58","00:24:14","10","25"
Strength Training,2022-08-20 18:12:09,false,"Strength","0.00","73","00:14:05","99","118","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","152","13","0:00","0.0","0:00","No","14:04.65.8","1","0.0","00:05:55.3","00:14:05","--","--"
Running,2022-08-18 06:02:09,false,"York Running","3.49","219","00:16:34","146","174","3.2","168","176","4:45","3:48","15","14","1.26","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:20.52","4","0.0","00:16:32","00:16:34","14","26"
Running,2022-08-17 06:01:34,false,"York Running","4.01","274","00:19:48","156","199","3.6","167","172","4:56","4:12","16","15","1.22","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:03.26.7","5","0.0","00:19:47","00:19:48","9","25"
Strength Training,2022-08-16 16:53:10,false,"Strength","0.00","34","00:08:00.4","100","116","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","81","8","0:00","0.0","0:00","No","08:00.42","1","0.0","00:03:52.6","00:08:00.4","--","--"
